HOLE:	763B
LEG:	122
TOP:	334.061005
BOTTOM:	574.853027
DEPTH	SGR	CGR	THOR	URAN	POTA	W1NG	W2NG	W3NG	W4NG	W5NG
350.3678	3.2553	2.5158	0.2504	0.0835	0.0970	12.4827	3.2362	0.0000	0.0000	0.0000
350.5202	3.5835	2.8146	0.2765	0.0869	0.1093	9.8655	0.8969	1.7937	0.4484	0.0000
350.6726	3.4520	2.6688	0.2634	0.0885	0.1034	13.8889	2.2401	0.4480	0.0000	0.0000
350.8250	3.8360	2.9223	0.2929	0.1032	0.1123	10.7623	1.7937	0.4484	0.4484	0.0000
350.9774	3.6092	2.6138	0.2725	0.1125	0.0984	12.9510	3.2377	0.9251	0.4625	0.0000
351.1298	3.8908	2.7558	0.2824	0.1282	0.1047	11.2057	1.7929	0.0000	0.0000	0.4482
351.2822	3.5357	2.4808	0.2576	0.1192	0.0935	11.5634	5.5504	0.4625	0.0000	0.4625
351.4346	3.8693	2.7219	0.2884	0.1296	0.1015	8.9646	3.1376	1.3447	0.0000	0.0000
351.5870	3.4280	2.4233	0.2770	0.1135	0.0864	13.4073	2.7739	1.3870	0.0000	0.4623
351.7394	3.5916	2.6594	0.3013	0.1053	0.0953	8.3218	3.2362	0.4623	0.0000	0.0000
351.8918	3.2442	2.6810	0.3023	0.0636	0.0964	12.6850	1.6913	1.6913	0.0000	0.0000
352.0442	3.1674	2.8528	0.3165	0.0355	0.1036	9.8522	3.5826	0.4478	0.0000	0.0000
352.1966	3.3458	3.3093	0.3600	0.0041	0.1216	8.0645	1.7921	1.3441	0.0000	0.0000
352.3490	3.4251	3.6345	0.3810	-0.0237	0.1364	12.4711	3.6951	1.8476	0.0000	0.0000
352.5014	3.6561	4.1887	0.4243	-0.0602	0.1601	10.7575	3.5858	0.4482	0.4482	0.0000
352.6538	3.7222	4.7767	0.4740	-0.1191	0.1845	10.8743	3.4798	0.4350	0.0000	0.0000
352.8062	3.6590	4.8881	0.4656	-0.1389	0.1926	15.7116	3.6969	0.0000	0.0000	0.0000
352.9586	3.4643	4.6383	0.4289	-0.1326	0.1853	7.8261	3.9130	1.3043	0.4348	0.8696
353.1110	2.9770	3.7874	0.3189	-0.0916	0.1575	9.1344	1.3049	1.3049	0.0000	0.0000
353.2634	3.0290	3.8072	0.3185	-0.0879	0.1588	7.8558	4.1590	0.0000	0.0000	0.4621
353.4158	3.3070	4.3830	0.4115	-0.1216	0.1739	11.2108	0.8969	2.2422	0.0000	0.0000
353.5682	3.7304	5.3001	0.5528	-0.1773	0.1994	9.1344	3.4798	1.3049	0.0000	0.4350
353.7206	4.0780	6.0390	0.6713	-0.2215	0.2190	12.1792	3.9147	1.3049	0.0000	0.0000
353.8730	4.0174	6.0301	0.6883	-0.2274	0.2151	12.6197	3.4813	2.1758	0.0000	0.0000
354.0254	4.0094	6.5200	0.7721	-0.2836	0.2271	11.5580	2.3116	0.0000	0.0000	0.0000
354.1778	4.3830	7.7224	0.9330	-0.3773	0.2653	12.6142	4.7847	0.8699	0.0000	0.0000
354.3302	4.4589	8.1369	0.9720	-0.4155	0.2817	14.7982	4.9327	3.1390	0.0000	0.8969
354.4826	4.6338	8.5060	0.9634	-0.4374	0.3049	9.8655	3.1390	1.7937	0.0000	0.0000
354.6350	3.9308	7.2903	0.7841	-0.3795	0.2696	13.9013	5.3812	1.3453	0.0000	0.0000
354.7874	3.6708	6.8685	0.7098	-0.3612	0.2597	8.2609	5.6522	1.3043	0.0000	0.0000
354.9398	3.1765	5.9661	0.6197	-0.3152	0.2250	7.1652	4.4783	0.0000	0.0000	0.4478
355.0922	3.2059	5.9778	0.6155	-0.3131	0.2265	6.2724	6.7204	0.0000	0.0000	1.3441
355.2446	3.4024	6.4419	0.6764	-0.3434	0.2415	12.2466	2.5338	1.2669	0.0000	0.0000
355.3970	3.3804	6.5900	0.7164	-0.3626	0.2422	9.8522	4.9261	0.4478	0.0000	0.0000
355.5494	3.4571	6.9706	0.7864	-0.3969	0.2505	10.7575	3.5858	0.0000	0.0000	0.4482
355.7018	3.6983	7.5069	0.8527	-0.4303	0.2686	10.9797	5.0676	0.8446	0.0000	0.4223
355.8542	3.8455	7.5121	0.8181	-0.4142	0.2758	11.3093	5.6546	1.3049	0.0000	0.0000
356.0066	3.3162	6.3252	0.6699	-0.3399	0.2359	12.0148	2.7726	1.3863	0.0000	0.0000
356.1590	2.9911	5.2538	0.5454	-0.2556	0.1982	6.3452	2.9611	0.8460	0.0000	0.0000
356.3114	2.6827	4.4913	0.4844	-0.2043	0.1658	10.2754	1.6441	1.2330	0.0000	0.0000
356.4638	3.1407	4.6330	0.4967	-0.1686	0.1716	7.8295	2.6098	0.8699	0.0000	0.4350
356.6162	3.0498	3.8290	0.3770	-0.0880	0.1485	9.7132	4.6253	0.0000	0.0000	0.0000
356.7686	3.6064	3.3182	0.2817	0.0326	0.1376	8.9606	1.3441	0.4480	0.0000	0.0000
356.9210	4.0126	2.8771	0.1977	0.1283	0.1285	10.0087	3.9164	0.8703	0.0000	0.4352
357.0734	4.8561	3.1647	0.1923	0.1911	0.1463	12.9987	1.7929	1.3447	0.0000	0.4482
357.2258	5.4658	3.5650	0.1894	0.2147	0.1702	14.3433	2.6894	1.3447	0.0000	0.0000
357.3782	5.4347	3.3800	0.1610	0.2321	0.1650	13.0548	6.5274	1.7406	0.0000	0.0000
357.5306	5.0110	3.0945	0.1794	0.2165	0.1447	11.0957	2.3116	2.7739	0.0000	0.0000
357.6830	4.8135	2.9321	0.2142	0.2125	0.1284	9.7043	4.1590	0.0000	0.0000	0.0000
357.8354	4.5492	2.7571	0.2303	0.2025	0.1150	9.4170	8.5202	0.8969	0.4484	0.0000
357.9878	5.2130	3.0303	0.2253	0.2466	0.1319	9.7252	2.9598	0.4228	0.0000	0.0000
358.1402	4.5460	2.5335	0.1689	0.2274	0.1142	11.3043	6.9565	1.7391	0.4348	0.0000
358.2926	5.7720	3.1303	0.1846	0.2984	0.1458	6.0870	4.3478	1.3043	0.4348	0.0000
358.4450	5.3455	2.7855	0.1467	0.2892	0.1332	16.1812	5.5479	1.8493	0.9246	0.0000
358.5974	5.3239	2.7399	0.1408	0.2919	0.1317	8.7841	5.0855	1.8493	0.0000	0.0000
358.7498	4.5469	2.2750	0.1132	0.2567	0.1101	7.8295	2.6098	0.8699	0.0000	0.0000
358.9022	4.5150	2.2339	0.1280	0.2577	0.1048	10.9797	3.8007	1.2669	0.0000	0.4223
359.0546	5.5581	2.5452	0.1521	0.3404	0.1182	11.4068	2.1124	0.8450	0.4225	0.0000
359.2070	5.7907	2.6588	0.1626	0.3538	0.1227	13.8951	4.0341	1.3447	0.4482	0.8965
359.3594	6.4882	3.0825	0.1924	0.3847	0.1415	13.9013	3.5874	1.3453	0.0000	0.0000
359.5118	5.8678	2.9732	0.1850	0.3270	0.1366	15.2535	4.9349	1.7945	0.4486	0.0000
359.6642	4.6984	2.4432	0.1552	0.2548	0.1116	9.8655	2.6906	3.1390	0.0000	0.0000
359.8166	3.7542	2.0490	0.1327	0.1926	0.0931	6.0923	2.1758	0.0000	0.0000	0.0000
359.9690	3.4684	2.0384	0.1377	0.1616	0.0915	6.9901	4.9342	1.6447	0.4112	0.0000
360.1214	4.2192	2.5865	0.1795	0.1844	0.1151	10.6864	2.0551	1.2330	0.0000	0.0000
360.2738	4.4072	2.7450	0.1947	0.1878	0.1214	9.8655	4.4843	1.7937	0.0000	0.8969
360.4262	4.4199	2.7380	0.1956	0.1900	0.1208	12.0203	2.3116	1.3870	0.4623	0.0000
360.5786	4.1788	2.6116	0.1854	0.1770	0.1154	9.1384	4.3516	0.4352	0.0000	0.0000
360.7310	3.8353	2.3403	0.1381	0.1689	0.1090	9.4128	3.1376	1.3447	0.0000	0.0000
360.8834	4.0758	2.3432	0.1037	0.1957	0.1160	9.2984	1.2680	1.6906	0.0000	0.0000
361.0358	3.8254	2.2112	0.0945	0.1824	0.1101	11.4068	3.8023	0.4225	0.4225	0.0000
361.1882	4.3744	2.5645	0.1691	0.2045	0.1159	6.9284	3.2333	0.9238	0.0000	0.0000
361.3406	4.2073	2.6597	0.2411	0.1748	0.1072	12.0148	3.2348	1.3863	0.4621	0.0000
361.4930	4.3762	2.8025	0.2943	0.1778	0.1050	11.3142	2.6110	0.4352	0.0000	0.0000
361.6454	4.1641	2.9342	0.3462	0.1389	0.1025	8.0717	3.5874	0.8969	0.4484	0.0000
361.7978	3.6351	2.4749	0.3059	0.1311	0.0837	11.2158	3.1404	1.3459	0.0000	0.0000
361.9502	3.9000	2.5268	0.3052	0.1551	0.0868	5.2219	3.4813	0.4352	0.0000	0.0000
362.1026	3.9567	2.5099	0.2903	0.1635	0.0888	8.5164	5.3788	1.7929	0.0000	0.4482
362.2550	5.2478	3.7547	0.4654	0.1687	0.1267	12.1898	4.3535	0.4354	0.0000	0.0000
362.4074	5.4127	4.0566	0.5485	0.1532	0.1278	15.7189	6.4725	0.9246	0.0000	0.0000
362.5598	5.9298	4.9244	0.7256	0.1136	0.1434	11.2108	5.8296	0.4484	0.0000	0.0000
362.7122	5.5674	5.1537	0.8149	0.0467	0.1391	14.3452	4.6275	2.3137	0.4627	0.9255
362.8646	5.7811	6.0918	0.9833	-0.0351	0.1604	11.8343	6.3398	0.8453	0.4227	0.4227
363.0170	5.1531	5.7759	0.9428	-0.0704	0.1500	16.9861	3.4843	0.4355	0.0000	0.4355
363.1694	4.9544	5.9471	0.9560	-0.1121	0.1574	10.4484	3.9182	0.8707	0.4354	0.4354
363.3218	4.5357	5.8301	0.9441	-0.1462	0.1529	12.6087	3.9130	1.3043	0.0000	0.4348
363.4742	4.7371	6.3098	1.0380	-0.1777	0.1623	14.3369	1.3441	0.4480	0.4480	0.0000
363.6266	4.7809	6.2278	1.0528	-0.1635	0.1546	13.4469	3.1376	1.7929	0.0000	0.0000
363.7790	5.1622	6.5811	1.1206	-0.1603	0.1618	12.6142	3.9147	1.7399	0.0000	0.4350
363.9314	5.3023	6.8424	1.1643	-0.1740	0.1683	12.4711	4.6189	2.3095	0.4619	0.9238
364.0838	5.0127	6.7757	1.1499	-0.1992	0.1673	14.3541	4.3497	0.8699	0.4350	0.4350
364.2362	4.3424	6.0934	1.0271	-0.1978	0.1518	12.1792	1.7399	0.8699	0.0000	0.8699
364.3886	3.8448	5.6629	0.9374	-0.2054	0.1445	8.9606	3.5842	0.4480	0.0000	0.8961
364.5410	3.7015	5.4669	0.8799	-0.1995	0.1444	12.1022	3.1376	0.4482	0.0000	0.0000
364.6934	3.9322	5.9863	0.9319	-0.2321	0.1644	8.5796	4.2898	1.4299	0.0000	0.0000
364.8458	4.2903	6.4942	0.9970	-0.2490	0.1811	10.6334	5.0855	0.9246	0.0000	0.4623
364.9982	4.6163	7.2570	1.0828	-0.2983	0.2086	11.8343	6.7625	0.4227	0.0000	0.8453
365.1506	4.4206	6.6147	0.9967	-0.2479	0.1882	11.8343	4.2265	1.6906	0.4227	0.0000
365.3030	4.4377	6.1875	0.9415	-0.1977	0.1742	10.7623	2.6906	0.0000	0.0000	0.0000
365.4554	4.5963	5.9705	0.9397	-0.1553	0.1620	10.7623	5.8296	1.3453	0.0000	0.4484
